"programme","funding_body","country","application_url","status","type_label","citizenship_rule_verbatim","prior_doctoral_enrolment_rule_verbatim","age_or_time_since_degree_limit","money_what_is_covered_and_not","duration","deadline_and_round_status","portable_or_tied","field_fit_1to5","date_retrieved"
"MIT-WHOI Joint Program in Oceanography (PhD) - admission with full funding","MIT + Woods Hole Oceanographic Institution (GRA on faculty grants / internal fellowships)","USA","https://mit.whoi.edu/admissions/funding/","CONDITIONAL (only the missing English test blocks him)","STUDENTSHIP (admission package; GRA component is salaried)","No citizenship clause on funding page. ""Joint Program (JP) students are admitted to the program with full funding (i.e., stipend, health insurance for a single person, and tuition). JP students, who remain in good academic standing, are provided financial support, consisting of tuition and a stipend (at least $49,614) during five years of full-time study.""","No clause found on how-to-apply or FAQ pages (FAQ addresses prior master's only). Transcripts from all institutions required.","None stated.","Stipend ""at least $49,614"" p.a. + tuition + ""health insurance for a single person"". NOT covered: dental, extended hospitalisation cover, housing (""not guaranteed for all five years""), relocation, visa/SEVIS. Taxed (see structural note).","5 years","1 Dec 2026 23:59 US Eastern for Fall 2027 (opens 1 Oct); decisions mid/late Feb. Annual. English REQUIRED (TOEFL iBT 100 / IELTS 7.0 / Cambridge 185 / Duolingo 130; exam ""two weeks or more before the application deadline""); waiver only for English-medium primary/secondary schooling or a 4-year English-speaking bachelor's ""in the U.S., Canada, or Europe""; ""A two or three-year Master's degree ... is not considered sufficient"". No GRE. 3 referees.","TIED","1, 2, 3, 4 (WHOI Marine Chemistry & Geochemistry: CSIA / lipid biomarkers)","2026-09-07"
"Scripps Institution of Oceanography PhD (UC San Diego) - admission with financial package","UC San Diego / Scripps","USA","https://scripps.ucsd.edu/doctoral/cost-funding","CONDITIONAL (English test; 5-year guarantee wording inconsistent between two Scripps pages)","STUDENTSHIP","""International graduate students follow the same application process as domestic students. ... doctoral students are typically offered a five year guaranteed financial package that includes stipend/salary, tuition, and nonresident supplemental tuition."" Departmental: ""minimum commitment of $37,500 plus tuition and mandatory fees ... Additional intended funding amounts and/or durations beyond the committed campus package are contingent on availability of funds and are not guaranteed.""","No clause on prior enrolment. UCSD: ""Normally, duplication of advanced academic degrees-MA, MS, PhD-is not permitted."" (holding, not enrolment).","None found.","Minimum USD 37,500 first year + tuition + fees + non-resident supplemental tuition. Health insurance not itemised (not verified). Years 2-5 ""not guaranteed"" per cost-funding page vs ""five year guaranteed"" per international page - two sources disagree. Application fee waiver US citizens/PR only.","Year-1 commitment; typically 5 years","2 Dec 2026 (Fall 2027; opens 16 Sep). English: TOEFL 4.5 new scale / 85 old, IELTS 7, Duolingo 120, PTE 65, taken ""no later than November""; exemption only for a degree from an institution that ""provides instruction solely in English"" verified via WHED - Bremen fails; no GRE.","TIED","1, 2, 3, 4","2026-09-07"
"URI Graduate School of Oceanography PhD","URI-GSO (GRA on faculty grants, limited TAs, internal fellowships)","USA","https://web.uri.edu/gso/academics/admission/","CONDITIONAL - funding NOT guaranteed by admission; but URI accepts a CEFR B2 certificate instead of TOEFL (UNIcert III C1 may qualify - confirm in writing)","STUDENTSHIP (tied to a named faculty sponsor + identified funding)","No citizenship clause. ""Acceptance into URI-GSO Graduate Programs in Oceanography is separate from funding support."" ""Students will not be accepted into the URI-GSO Graduate Program without a faculty sponsor"".","No clause found.","None found.","""Annual stipend ($42,393 for Level 1, $43,647 for Level 2, and $45,497 for Level 3 full-time appointments) for 2026-2027 academic year"" + ""Health benefits and tuition covered"" - only if a funding source is identified.","""Typically 5-6 years""","Rolling; ""encouraged deadline of January 1st"" for internal fellowships; international applicants ""expected to apply for fall programs by February 1"". Contact faculty now. No GRE. Graduate School accepts ""Common European Framework of Reference (CEFR): Required minimum score of B2"" in place of TOEFL (UNIcert not named).","TIED","1, 2, 3, 4","2026-09-07"
"Rutgers Graduate Program in Oceanography (DMCS) PhD","Rutgers (sponsored research grants, assistantships, fellowships)","USA","https://marine.rutgers.edu/students/graduate/","UNCLEAR (stipend and English minima not published on any reachable Rutgers page)","STUDENTSHIP","No clause. ""Rutgers Academic Year (10-month) assistantships and fellowships include a stipend and full tuition remission. The GPO program has had an excellent record of sustaining full financial support through to graduation.""","No clause found.","None found.","""a stipend and full tuition remission"" - figure not published (not verified); 10-month appointment (summer separate); health insurance not stated.","Not stated","""Application deadline: January 1st"" -> 1 Jan 2027. English minima pages return 404 - e-mail gpo@marine.rutgers.edu.","TIED","1, 2, 3, 4","2026-09-07"
"Oregon State University CEOAS PhD (Ocean Ecology and Biogeochemistry)","OSU CEOAS (GRA/GTA)","USA","https://ceoas.oregonstate.edu/how-apply","CONDITIONAL (funding competitive, not guaranteed; English test - programme-level exception route exists)","STUDENTSHIP / EMPLOYMENT (assistantship)","""The CEOAS on-campus graduate programs application deadline is December 15, 2026 for all majors ... This deadline applies to all domestic and international students.""","No clause found.","None found. GPA ""at least 3.00 ... on the last 90 hours of coursework"".","""Graduate teaching or research assistantships provide a monthly stipend, tuition remission and subsidized health insurance."" Stipend figure not published (not verified). Not guaranteed by admission (""availability of research mentors is the primary limiting factor"").","Not stated","15 Dec 2026 (Fall 2027); offers by March. No GRE. English: TOEFL iBT 80 (18/section) / IELTS 6.5 / Duolingo 110; GTA needs speaking 22 / IELTS 7.0; waiver country list excludes Germany and Türkiye; ""Individual programs may request exceptions"".","TIED","1, 3, 4","2026-09-07"
"University of Washington School of Oceanography PhD","UW (RA/TA under UW/UAW contract)","USA","https://www.ocean.washington.edu/story/FAQs_for_Prospective_Graduate_Students","CONDITIONAL (English test); funding guaranteed 6 years; doctoral-only admission","EMPLOYMENT (RA/TA) + tuition + insurance","""Yes. You will be funded for six years on a Research Assistantship or a Teaching Assistantship, as long as you are making satisfactory progress. We cover tuition (minus quarterly university fees), health insurance and a stipend of no less than $3500/month."" ""Applications are only accepted for the doctoral program.""","No clause found.","None found.","FAQ: ""no less than $3500/month"" (~USD 42,000); Graduate Funding page: ""currently averaging $2,600 per month"" - two UW pages disagree; confirm current UW/UAW rate. Covered: tuition, health insurance. NOT covered: ""quarterly university fees"", travel, bench.","6 years","1 Dec 2026 midnight Pacific (Fall 2027); ""Official TOEFL scores must be received no later than December 1"" (code 4854). GRE not considered. Waiver only for English-medium schooling or a US bachelor's. Graduate School minima: TOEFL 80 (recommended 92), IELTS 6.5 (recommended 7.0), Duolingo 115 (130).","TIED","1, 2, 3, 4","2026-09-07"
"Texas A&M Department of Oceanography PhD","TAMU Oceanography (GAR/GAT assistantships)","USA","https://artsci.tamu.edu/oceanography/academics/graduate/funding.html","CONDITIONAL (English test; lowest stipend; health insurance not free)","EMPLOYMENT (assistantship) + tuition","""The department of Oceanography typically offers financial assistance to all admitted MS and PhD students ... all Assistantships include tuition payments. ... All students admitted ... are considered for support and no separate application is necessary.""","No clause found.","None found.","""$2,500 for Master's students and Ph.D. students pre-candidacy"" and ""$2,750 for Ph.D. students who are admitted to Candidacy"" per month (USD 30,000 / 33,000 p.a.); tuition ""at the in-state rate""; non-resident tuition via waiver requested each semester. Health insurance: employee premiums with half state contribution, after 60 days. University floor from 1 Oct 2026: ""$2,000 per month at 50% FTE"".","""until graduation"" with satisfactory progress","No official deadline; ""submit all material by January 1"" (2027) for full consideration; decisions March. No GRE. English: TOEFL iBT 80 / IELTS 6.0.","TIED","1, 2, 4","2026-09-07"
"University of Miami Rosenstiel School PhD (Marine Geosciences / Ocean Sciences)","University of Miami (RA / University Fellowship)","USA","https://graduate.earth.miami.edu/apply-now/index.html","CONDITIONAL (English test cannot be waived on a non-US degree; funding not automatic)","STUDENTSHIP","""Ph.D. students admitted with a Research Assistantship or University Fellowship ... are offered up to 5 years support ... Funding for RAs typically comes from grants or contracts to individual investigators; hence, not all faculty members are in a position to accept students each year."" ""All students on RAs are provided with a competitive stipend for living plus tuition and health insurance.""","No clause found. ""direct entry for study leading to the Ph.D. is encouraged.""","None found.","""competitive stipend for living plus tuition and health insurance"" - figure not published (not verified). Application fee USD 85.","""up to 5 years support""","Application period 1 Sep - 8 Jan (2027); complete by 1 Dec 2026 for recruitment weekend (FAQ page says 1 Jan - stale; two sources disagree). GRE optional (FAQ says required - stale). English: TOEFL iBT 80 (new scale 4.5) / IELTS 6.5 / Duolingo 125; ""This requirement cannot be waived"" except for a US degree.","TIED","2, 4; 1","2026-09-07"
"Penn State Department of Geosciences PhD","Penn State (TA/RA, fellowships)","USA","https://www.geosc.psu.edu/graduate/prospective-students/how-apply-graduate-studies-geosciences-penn-state","CONDITIONAL (English test; stipend figure not published); strongest guarantee wording","STUDENTSHIP / EMPLOYMENT (assistantship)","""While all accepted graduate students are guaranteed funding for their stipend and tuition, which can come from a combination of different sources ..."" ""Teaching and research assistantships ... typically include a stipend, tuition remission, and a subsidy for medical insurance.""","No clause found. ""A student may work toward a Ph.D. degree without first earning a M.S. degree.""","None found.","Stipend + tuition remission + medical-insurance subsidy (not free). Stipend figure NOT published on departmental pages (rates served as attachments) - not verified.","Not stated","15 Dec 2026 (Fall 2027). No GRE. English: TOEFL iBT 80 (speaking 19) / new scale 4.5 (speaking 3.5) / IELTS 6.5; exempt-country list read in full - Germany absent; provisional admission possible below minimum; ""application will not be considered complete until ... we have received the TOEFL"".","TIED","2, 3, 5 (organic geochemistry/biomarkers, geobiology-astrobiology)","2026-09-07"
"Caltech Division of Geological and Planetary Sciences PhD (geochemistry / geobiology options)","Caltech (Division fellowship then RA/TA)","USA","https://www.gps.caltech.edu/academics/graduate-program/graduate-admissions-and-entrance-procedures","ELIGIBLE - no English test required; PhD-only admission; funding guaranteed; but GRE REQUIRED for geochemistry/geobiology","STUDENTSHIP (Division fellowship) then EMPLOYMENT (RA/TA)","No citizenship clause. ""GPS students are guaranteed funding through a Division fellowship for the first five terms at Caltech ... The Division is committed to funding students throughout their graduate career."" Caveat: ""matriculation into the PhD program requires evidence of work authorization, unless special compensation can be arranged"" (F-1 on-campus authorisation normally suffices - confirm).","No clause found in the Caltech catalog admission section. ""The GPS Division only admits students with an intention to complete a Ph.D.; we do not accept applications to a masters program.""","None found.","""stipend of $46,500 a year (starting October 1, 2024)"", rises annually; tuition covered; ""subsidized health insurance plan"" + subsidised dental/vision. NOT covered: housing; open-house travel supported.","5 terms guaranteed fellowship; commitment thereafter; average 5.5 years","15 Dec 2026. GRE ""required ... for geology, geochemistry, geobiology, and geophysics"" (scores by 15 Jan). English: ""Although not required for admission ..."" and ""There is no minimum requirement for the English proficiency exams"" (ESL evaluation at orientation). One option per cycle.","TIED","2, 3, 5 (best fit for lipid biomarkers, CSIA, biosignatures); weaker 1, 4","2026-09-07"
"NASA FINESST (Future Investigators in NASA Earth and Space Science and Technology)","NASA Science Mission Directorate (grant to the US university; student = Future Investigator)","USA","https://science.nasa.gov/researchers/solicitations/roses-2025/amendment-52-nasa-smd-graduate-student-research-solicitation-future-investigators-in-nasa-earth-and-space-science-and-technology/","CONDITIONAL - open to non-citizens, but only once applying to / enrolled at a US university (year-1/2 move)","STUDENTSHIP (tied; adviser is PI)","""If the institution of higher education is willing to submit the research proposal for an FI 1) who is not yet at the university, 2) who is NOT a U.S. citizen or permanent resident, or 3) both 1 and 2, then those students are eligible.""","No clause. Eligible FI ""has applied to, or has been admitted to, or is enrolled as a graduate student"" at a US university; repeat applicants allowed.","None.","""The total amount proposed may not exceed $50,000 per budget year for all costs combined"" (tuition/fees/health, stipend, travel, subsistence, other) - a supplement to a departmental package, not a substitute.","Up to 3 years (36-month cap)","ROSES-25: 14 Jul 2026 (past); ROSES-2026 F.5 date not published (expect mid-July 2027, indicative). Dual-anonymous review; FI must be primary author.","TIED","1, 4, 5 (Earth Science; Planetary Science/astrobiology via OWL decadal)","2026-09-07"
"Link Foundation Ocean Engineering and Instrumentation PhD Fellowship","The Link Foundation","USA/Canada (tenable at US and Canadian universities)","https://linkoe.org/program-guidelines/","CONDITIONAL - no citizenship bar, but must already hold a PhD place; weak field fit unless instrumentation-framed","SCHOLARSHIP (portable within US/CA institutions)","""No limitations are placed on citizenship.""","No clause. ""the applicant must have already been accepted into a Ph.D. program""; ""Fellowships are only tenable at U.S. and Canadian Universities.""","None; preference for ""a well-defined thesis direction"".","""$35,000"" for stipend; ""Tuition - it is expected that the Fellow's institution will waive or assume tuition charges"" -> NOT fully funded alone.","1 year","Not published on guidelines page (historically a winter call) - not verified.","PORTABLE within US/CA","weak (ocean engineering/instrumentation); only if project is analytical-instrument development","2026-09-07"
"WHOI Ocean Ventures Fund (internal research award)","Woods Hole Oceanographic Institution","USA","https://mit.whoi.edu/research/awards/awards-for-current-students/whoi-ocean-ventures-fund-recipients/","CONDITIONAL - only for enrolled MIT-WHOI Joint Program students; not an entry route","STUDENTSHIP (internal; student is PI)","""OVF is open to all students in the MIT-WHOI Joint Program in Oceanography/Applied Ocean Physics and Engineering. The research idea and the proposal text must come from the graduate student, not his/her supervisor.""","No clause found.","None stated.","Amount not on page (research award, not a stipend).","Not stated","Internal annual solicitation; not published on page.","TIED","1-4","2026-09-07"
"Schlanger Ocean Drilling Fellowship (USSSP / IODP)","U.S. Science Support Program","USA","https://www.usssp-iodp.org/research/schlanger-fellowships/","UNCLEAR - page stale (2013/14 cycle); citizenship wording ambiguous between two sources","SCHOLARSHIP (tied to IODP research; US institution)","USSSP page: ""U.S. graduate students are eligible to apply for one-year research fellowship awards of $30,000."" MIT-WHOI listing: ""open to all graduate students enrolled at U.S. institutions in full-time M.S. or Ph.D. programs."" Two sources disagree - resolve with USSSP.","No clause found.","None stated.","""$30,000 per year award is to be used for stipend, tuition, benefits, research costs, and travel"" - not fully funded alone.","1 year","Current cycle not published (page shows 15 Nov 2013 - indicative only).","TIED","2, 4","2026-09-07"
"PhD in Oceanography - institutional minimum funding package (EOAS)","University of British Columbia (Faculty of Graduate and Postdoctoral Studies / EOAS)","Canada","https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/phd-oceanography","ELIGIBLE (best-verified Canadian route; needs IELTS/TOEFL)","STUDENTSHIP (institutional guarantee from RA/TA/awards)","Minimum funding policy: ""all full-time students enrolled in a UBC-Vancouver PhD program must be provided with a minimum funding package equal to $40,000 for each of the first four years"", effective ""September 2026 onward"", applying to ""both domestic and international students"".","UBC Calendar: ""Students who hold or are shortly expected to hold a doctoral degree from UBC are not normally admitted to a second doctoral degree at UBC."" - bars UBC doctorate holders only. No clause on prior enrolment elsewhere. Transcripts from ALL post-secondary study required (Bochum surfaces here).","None found.","CAD 40,000/yr guaranteed years 1-4, BUT ""any funding paid through Workday (i.e., award funding) will first be applied to UBC tuition and fees ... before excess funds are paid to the recipient"" -> inclusive of tuition. International PhD tuition CAD 10,081.65 + ~CAD 1,203.20 fees -> net ~CAD 28,700-29,000/yr. Award portion largely tax-free (CRA line 13010); TA/RA portion taxed. NOT covered separately: MSP/extended health, relocation, bench fees.","Guarantee 4 years; PhD normally 5+","""Application Deadline 15 January 2027"" for Sept 2027 entry (same for internationals). Annual. EOAS: ""Applicants must specify a desired research supervisor(s)"". English: programme page TOEFL 100 / IELTS 6.5 vs faculty page TOEFL 90 / IELTS 6.5 (6.0 per band) - two sources; no waiver for a German-taught degree; UNIcert not listed; test within 24 months.","TIED","1, 2, 3, 4","2026-09-07"
"Four Year Doctoral Fellowship (4YF)","University of British Columbia","Canada","https://www.grad.ubc.ca/awards/four-year-doctoral-fellowship-4yf","ELIGIBLE (nominated by department; no separate application)","SCHOLARSHIP (tied)","Eligibility field: ""Canadian, Permanent Resident, International"".","No clause found. ""offered to students beginning their first year of full time PhD ... studies, but may be offered to continuing students.""","None found.","""$24,000 stipend plus full tuition coverage"" per year - tuition genuinely additional here. Health/travel/bench not mentioned. Ask EOAS whether 4YF sits inside or above the CAD 40,000 floor.","Up to 4 years","""Set by each UBC graduate program"" - operative date is the 15 Jan 2027 admission deadline.","TIED","1-4","2026-09-07"
"Killam Predoctoral Scholarship, Level 2 (Doctoral)","Dalhousie University / Killam Trusts","Canada","https://www.dal.ca/faculty/gradstudies/finance-your-studies/scholarships-bursaries/killam-master-doctoral.html","ELIGIBLE / CONDITIONAL on admission and IELTS 7.0","SCHOLARSHIP (tied)","""This scholarship is open to both Canadian and international students pursuing a full time doctoral (PhD) degree at Dalhousie University.""","""You must have spent less than six terms (24 months) in your PhD as of May 1st of the award year to be eligible to apply."" ""must be taken up no later than the 7th term in the PhD program."" Wording is ""in your PhD"" (the Dalhousie one). No clause on prior enrolment elsewhere - low risk, confirm by e-mail.","None found.","""Up to $48,000 per year for up to four years"", base ""$42,000 per year ($14,000 per term) for up to three years"". International tuition supplement, health, travel, bench NOT mentioned; Dalhousie international PhD tuition not verified (Oceanography page: ""Students do not typically pay tuition. Instead, support ... comes mainly from supervisors' research grants"").","3 years base, up to 4","Not centrally published; run at Faculty level - contact programme ""after October 15"" (previous cycle indicative). Dal FGS general deadline for non-Canadians: 1 Apr 2027 (Oceanography may be earlier). English: IELTS 7.0 / TOEFL 92 (new scale 4.5); waiver requires English-instruction AND English-official-language country - fails.","TIED","1, 2, 3, 4 (Dal Oceanography)","2026-09-07"
"Dalhousie Research Excellence Award (doctoral)","Dalhousie University","Canada","https://www.dal.ca/faculty/gradstudies/finance-your-studies/scholarships-bursaries/doctoral-scholarships.html","UNCLEAR (index entry only; terms not opened)","SCHOLARSHIP (tied)","Index: ""Canadian and international students"".","No clause found on page.","Not stated.","""$35,000/yr""; fees/insurance/travel not stated - not verified.","""Up to 4 years""","Not stated. Ask oceansec@dal.ca.","TIED","1-4","2026-09-07"
"Canada Graduate Research Scholarship - Doctoral (CGRS D) - successor to Vanier and CGS-D/PGS-D","Tri-agency NSERC / CIHR / SSHRC","Canada","https://nserc-crsng.canada.ca/en/funding-opportunity/canada-graduate-research-scholarship-doctoral-program","CONDITIONAL - only after he is registered at a Canadian institution (year-1 upgrade, not an entry ticket)","SCHOLARSHIP (tied; applied via institution)","""If you are not a Canadian citizen, permanent resident of Canada or protected person ..., you must be registered in your doctoral program of study at an eligible Canadian institution by the application deadline. Up to 15% of awards will be available to international applicants.""","""you must have completed no more than 36 months of full-time equivalent study in the doctoral program ... for which you are requesting funding by December 31 of the calendar year of your application."" + ""the agencies count all studies toward the doctoral degree for which funding is requested, whether or not they were completed in the same program or at the same institution"". FLAG: anchored to the degree funded, so Bochum should not count - but the second sentence is stretchable; get a written ruling. Also ""You cannot have already received a doctoral-level scholarship from CIHR, NSERC or SSHRC"" - n/a.","No age limit. ""You can apply a maximum of three times"".","CAD 40,000/yr. Stipend only: fees, health, travel, bench NOT covered - top slice of an institutional package.","36 months","Agency: 17 Oct (""before 8:00 pm (ET)""); institutional deadlines earlier (Dalhousie 5 Oct 2026; U of T 1 Oct 2026). For him: earliest realistic is Oct 2027 after Sept 2027 registration.","TIED","1-4","2026-09-07"
"Canada Impact+ Research Training Awards (CIRTA) - doctoral","Tri-agency NSERC / CIHR / SSHRC","Canada","https://nserc-crsng.canada.ca/en/canada-impact-research-training-awards-qa","UNCLEAR - profile fits exactly, but both 2026 intakes closed and a 2027 intake is not confirmed; nomination-only","SCHOLARSHIP (tied; nominated by a grant-holding Canadian academic)","""Nominees can be of any citizenship, including Canadian citizens, permanent residents and protected people."" Nominees ""cannot currently be affiliated with Canadian institutions - they must be studying or working abroad.""","No clause. Q&A: ""there are no restrictions based on years since degree completion or months into doctoral study.""","None.","CAD 40,000/yr x 3 years. NOT covered: tuition, health, travel, bench.","3 years","2026: Phase 1 4 Mar 2026, Phase 2 3 Jun 2026 (both closed; institutional nominations weeks earlier). 2027 intake not published (announced as a one-time CAD 133.6M initiative). Nominators ""must hold active grants with planned payments in fiscal 2025-26 or 2026-27"". Ask CIRTA-BFRIC@nserc-crsng.gc.ca.","TIED","1-4 (priority areas incl. Environment, climate resilience and the Arctic)","2026-09-07"
"Québec Merit Scholarship Programme for Foreign Students (PBEEE) - doctoral component V1","Fonds de recherche du Québec (FRQ)","Canada (Québec)","https://frq.gouv.qc.ca/programme/bourses-dexcellence-pour-etudiantes-etrangeres-et-etudiants-etrangers-pbeee-2027-2028/","ELIGIBLE on citizenship/country; CONDITIONAL on Québec-university pre-selection this autumn","SCHOLARSHIP (tied; institutional pre-selection then agency competition)","Applicants must ""ne détiennent pas la citoyenneté canadienne ou le statut de résident permanent du Canada"" (older English page: ""Cannot be a Canadian citizen or a permanent resident of Canada""). Germany is not a bilateral stream (Brazil, China, India, Israel, Wallonia) -> apply under the open all-countries component V1.","2027-28: ""un maximum de 14 sessions à temps plein avant le 1er mai 2027""; older cycle: ""in the first nine semesters of their doctoral studies"" with previous doctoral semesters counting whether funded or not. Two cycles differ; Bochum (~5 semesters) fits either. Must be disclosed.","None beyond semester cap.","CAD 25,000/yr; max 12 instalments over 15 semesters, cap CAD 100,000. Fees, health, travel, bench NOT covered -> only viable stacked with the Laval fee exemption + supervisor top-up.","3 years, extension possible","2 Dec 2026 16:00 EST (2027-28 competition) - but institutional pre-selection runs ~Sep-Nov 2026: nearest live Canadian deadline. Next: Dec 2027. Laval is francophone; English supervision not verified.","TIED","1-4 (Laval/Québec-Océan, UQAR-ISMER)","2026-09-07"
"Université Laval supplemental-tuition exemption for international doctoral students (fee waiver only)","Université Laval (BBAF)","Canada (Québec)","https://www.ulaval.ca/en/academics/tuition/international-students/doctoral-programs/summer-2026","CONDITIONAL - fee waiver, zero stipend; NOT fully funded alone","SCHOLARSHIP (tied fee exemption)","No citizenship clause on page; exemption is for payers of ""Supplemental tuition fees"" (internationals). ""Various exemption programs are available to reduce the supplemental tuition required.""","No clause found.","None.","Removes supplemental fees: international doctoral tuition = ""Tuition $100.89"" + ""Supplemental tuition fees $519.27"" per credit (12 credits: $1,210.68 + $6,231.24 ~ CAD 7,442/yr). No stipend.","Renewable while registered full-time","Not stated; administered per session. Dedicated BBAF page 301-redirects; e-mail exemption@bbaf.ulaval.ca.","TIED","1-4","2026-09-07"
"Earth & Planetary Sciences PhD - departmental guaranteed funding","McGill University, Dept of Earth and Planetary Sciences","Canada (Québec)","https://www.mcgill.ca/eps/programs/graduate-programs/funding","ELIGIBLE (international differential covered) but low money","STUDENTSHIP","""The EPS Department currently provides tuition fee subsidies to out-of-province Canadian students and International students such that the tuition amount paid is identical to that of a Quebec resident.""","No clause found on page.","None found.","Research stipend ""$20,132"" (yrs 1-4), ""$19,295"" (yr 5); ""Total take-home"" ""$25,000"" net of tuition, fees and health insurance, plus TA employment; conditional on ""satisfactory progress ... evaluated annually"".","5 years of stated figures","Not on funding page - check EPS admissions page.","TIED","2, 4; 1 partly","2026-09-07"
"Earth and Ocean Sciences PhD (SEOS) - institutional funding","University of Victoria","Canada","https://www.uvic.ca/graduate/programs/graduate-programs/credential-pages/earth-and-ocean-sciences-cred/earth-and-ocean-sciences-phd.php","UNCLEAR - no minimum funding guarantee found; international page 404","STUDENTSHIP (supervisor-dependent)","No exclusion found; only ""6.0/9.0 cumulative or second-class standing for entering international students"" (UVic Fellowship standard).","No clause found.","None found.","""UVic fellowships of up to $20,000 per year for most programs""; no minimum guarantee stated; international tuition coverage not verified -> cannot be called fully funded on this evidence.","PhD typically 4 years","""Applications may be submitted at any time"" (Sept/Jan/May entry) - rolling; supervisor mandatory: ""you must list a potential supervisor on your application; this faculty member must agree to be your supervisor"". English requirements not verified. Contact seosgsec@uvic.ca.","TIED","1, 3, 4","2026-09-07"
"Graduate funding package (SGS fellowships + assistantships)","Memorial University of Newfoundland","Canada","https://www.mun.ca/become/graduate/tuition-fees-and-funding/graduate-funding--scholarships/","CONDITIONAL - weakest money in Canada; fallback only","STUDENTSHIP","""Memorial University offers competitive funding packages to academically eligible full-time graduate students, both Canadian and international, in all eligible research programs"".","Could not verify (calendar page returned navigation shell only).","None found.","""School of Graduate Studies fellowships - ranging from $4,000 to $12,000 per year"" + assistantships $3,000-6,000 -> ~CAD 15,000-18,000/yr; not fully funded. International PhD tuition not verified.","Not stated","Not stated. Contact oceangrad@mun.ca. English waiver wording (""where the language of instruction is English"", no country test) is the most favourable found - still likely fails for a German-taught M.Sc.; source is a search extract, not fully verified.","TIED","1, 3, 4","2026-09-07"
"University of Auckland Doctoral Scholarship (code 43)","University of Auckland","New Zealand","https://www.auckland.ac.nz/assets/study/scholarships-and-funding/find-a-scholarship-or-award/regulations/university-of-auckland-doctoral-scholarship.pdf","ELIGIBLE (needs IELTS/TOEFL; apply as NEW applicant, not transfer)","SCHOLARSHIP (tied to UoA admission)","""An applicant must be either: (i) a domestic student; or (ii) an international student who is eligible to pay domestic fees for enrolment in the doctoral programme."" (International PhD students pay domestic fees if resident in NZ: ""The 2026 PhD tuition fee is NZ$8,847.60 per annum"".)","""An applicant must not: (i) already hold a doctorate degree; or (ii) have previously received payment for a University of Auckland Doctoral Scholarship; or (iii) be enrolled in a doctoral programme, except for ... transfer ..."" -> bars holding or CURRENT enrolment, not a past withdrawn enrolment. TRAP: ""For doctoral transfer recipients, the term ... will end after 42 months of FTE study from the date of enrolment in the prior doctoral programme"" - get written confirmation he is treated as a new applicant.","None.","""a stipend of $35,468 per annum in 2026 ... for up to 42 months"" (tax-free) + ""the Student Services Fee and compulsory tuition fees"" + ""for international students only, the single student Health Insurance compulsory charge"". NOT covered: relocation, bench costs, family insurance, visa. Most complete NZ package.","Up to 42 months FTE","""apply for the programme by either 1 November, 1 February, 1 May, or 1 August"" -> next 1 Nov 2026, then 1 Feb 2027. No separate form. Paid work cap 750 h/yr; cannot hold concurrently with a foreign-government scholarship. English: IELTS 6.5 (no band <6.0) / TOEFL 90 (W21) / C1 Advanced 176 / PTE 58; exemption only for citizens of Canada, Ireland, Singapore, UK, USA; UNIcert not listed.","TIED","1, 2, 3, 4 (Institute of Marine Science, School of Environment)","2026-09-07"
"Wellington Doctoral Scholarship","Victoria University of Wellington","New Zealand","https://www.wgtn.ac.nz/scholarships/current/wellington-doctoral-scholarships","CONDITIONAL (English requirements 'strict and not negotiable'; insurance not covered)","SCHOLARSHIP (tied)","""open to New Zealand and international students in any discipline""; ""graduates of any university within or outside of New Zealand"".","""These scholarships are only available to students seeking to obtain their first doctoral qualification. Applicants that already hold a doctorate degree are ineligible."" -> test is holding a doctorate; disclose Bochum and get it ruled in writing.","None found.","""$32,000 stipend annually plus tuition fees"" for ""up to three years""; ""will cover the cost of your tuition, but not additional fees such as insurance and student levies."" NOT covered: insurance, levies, relocation.","Up to 3 years","""1 March, 1 July and 1 November"", 4.30 pm -> next 1 Nov 2026. Part of the PhD admission application; references must have arrived. English: IELTS 6.5 (6.0) / TOEFL 90 (W20) / PTE 58 / Duolingo 120 / C1-C2 176; Germany in neither exemption List A nor B.","TIED","2, 4, 5 (SGEES, Antarctic Research Centre); weaker on 1","2026-09-07"
